states,flag,Avg0,SD0,frust0
'001000000000000001000100011110001100010000000010010000101011001100010101',1,0.0002,0.0,0.2323943661971831
'110111110111110001000011111111110011111111111111100101110110111001100010',1,0.0005,0.00014142135623730948,0.18309859154929578
'010000000111001000000100000000000100000000000010010000000010000100001001',1,0.0004,8.164965809277262e-5,0.056338028169014086
'101001111000111110111001000001111111101111011101111110011101000010011111',1,0.00039999999999999996,0.00021602468994692868,0.2112676056338028
'101101111011110111111011100001111011101111111101101111111101111011110110',1,0.0004666666666666666,0.0001247219128924647,0.09154929577464789
'010100001111000001111110111000000000010000100000001011100000111111100000',1,0.00046666666666666666,0.0001699673171197595,0.21830985915492956
'010000001100001110111100111110000100010000000000011010001000000110001001',1,0.00023333333333333336,0.00012472191289246472,0.16901408450704225
'110111110100110111000011011111110011111111111111100101111110111001100010',1,0.00023333333333333333,9.428090415820633e-5,0.15492957746478872
'010110000100000001000110011110000000010000100010000001000010111101100000',1,0.00013333333333333334,4.7140452079103176e-5,0.19014084507042253
'001101011000110111111111011110101000011011111001101111111001111111110110',1,0.0005666666666666667,0.0001699673171197595,0.14084507042253522
'101101111000110111111001111111111011111111100101101111111101111011110110',1,0.0003333333333333333,0.0001699673171197595,0.11971830985915492
'001101011011110111111111011000101000011011111001101111111001111111110110',1,0.0004333333333333333,0.00024944382578492944,0.14084507042253522
'001101010000110111000111000110101100001011111011110100111011111100010111',1,0.00016666666666666666,4.714045207910317e-5,0.2605633802816901
'110000100100001000000000100111010111100100000110010000000110000000001001',1,0.0004999999999999999,0.0001414213562373095,0.13380281690140844
'101011110011111000000001100111111111101111011111110100011111000000011111',1,0.00016666666666666666,4.714045207910317e-5,0.2112676056338028
'010000001111001000111100011000000100010000011000011010000000000110001001',1,0.00036666666666666667,0.00030912061651652346,0.14084507042253522
'010000001111001000111100100000000100000000000000011010000000000110001001',1,0.0003,0.0,0.1056338028169014
'101101111011110111111011000001111011101111100101101111111101111011110110',1,0.0003333333333333333,9.428090415820634e-5,0.11267605633802817
'101111110000110001000011011111111011111111100111100101111111111001110110',1,0.0004333333333333333,0.0001247219128924647,0.13380281690140844
'101101110000110001000011011001111011111111111111100101110111111001110110',1,0.0006,0.0002160246899469287,0.14788732394366197
'010000001111001000111100011110000100010000000000011010000000000110001001',1,0.0004,0.0001632993161855452,0.14084507042253522
'101111110011110111000011011111111011111111111111100101111111111001110110',1,0.0002666666666666667,9.428090415820635e-5,0.09154929577464789
'110010100100001000000000100111010111100100000110010000000110000000001001',1,0.0003333333333333333,0.00012472191289246472,0.14084507042253522
'010000001100001000111100100110000100000000011000011010000000000110001001',1,0.00036666666666666667,0.00012472191289246472,0.11971830985915492
'001101010011110001000111100000101100001011111011110100110011111100010111',1,0.00023333333333333333,4.714045207910315e-5,0.2746478873239437
'010000001111001000111100000110000100000000000000011010000000000110001001',1,0.00039999999999999996,0.0001414213562373095,0.11267605633802817
'110010101100001000111000000001010111100100011100011010000100000010001001',1,0.0004333333333333333,4.714045207910316e-5,0.1619718309859155
'010100000100000001000110111000000000010000111010000001100010111101100000',1,0.00016666666666666666,4.714045207910317e-5,0.20422535211267606
'101101110011110001000011011111111011111111100111100101111111111001110110',1,0.00039999999999999996,0.00021602468994692865,0.1267605633802817
'101101111000110111111011111001111011111111111101101111111101111011110110',1,0.0006,0.0001414213562373095,0.07746478873239436
'001101011011110001111111111110101000011011111001101111111001111111110110',1,0.0003333333333333333,0.00016996731711975952,0.13380281690140844
'010010000111001000000100100110000100000000000010010000000010000100001001',1,0.00046666666666666666,9.42809041582063e-5,0.08450704225352113
'110000100111001110000000100111010111100100000110010000001110000000001001',1,0.0004333333333333333,0.0001247219128924647,0.15492957746478872
'101111111000110111111011111111111011111111111101101111111101111011110110',1,0.0004,0.00021602468994692865,0.056338028169014086
'110010100100001000000010000001010011100100011110000001000110000001101000',1,0.00013333333333333334,4.7140452079103176e-5,0.2535211267605634
'110110100111000001000010011001010011110100100110000001100110111001100000',1,0.0002666666666666667,9.428090415820635e-5,0.21830985915492956
'101101110011110001000011111001111011111111111111100101110111111001110110',1,0.0004333333333333333,0.0001247219128924647,0.14084507042253522
'110010100100001000000000000001010111100100000110010000000110000000001001',1,0.0002666666666666666,4.714045207910315e-5,0.11971830985915492
'001101010011110111000111111110101000011011100011100101111011111101110110',1,0.0002,8.16496580927726e-5,0.1619718309859155
'101011110011110001000001011111111011111111011111100101111111001001110110',1,0.0004666666666666667,0.0003771236166328254,0.176056338028169
'110000101111001110111000111111010011110100000100001011001100000011101000',1,0.0002333333333333333,9.428090415820631e-5,0.2746478873239437
'101111111011110111111011100111111011101111111101101111111101111011110110',1,0.0003,8.164965809277261e-5,0.07042253521126761
