states,Avg0,SD0,frust0
'101111111000111001111000111001101000011111111101101111101001111010011111',,,0.24647887323943662
'010000000100000001000110111000000000010000011010010000001010001101110000',,,0.21830985915492956
'001000001000001110111100011000000000010000000000011010000001000110001101',,,0.176056338028169
'011101001100000111111111011000111111110011111000001111100101111111100100',0.00013333333333333334,4.714045207910317e-5,0.19718309859154928
'010000000100001110000100011000000000010000000010010000000010000100001001',0.0006333333333333333,4.714045207910318e-5,0.09154929577464789
'111111110111110001101011111001111111111111100111100111111101111001110110',,,0.11971830985915492
'110000110100111000000000100111010111101100000111110000011110000000011011',0.0005,0.00021602468994692865,0.18309859154929578
'010101000100000001000111011000101000010011111010000101000010111101100000',0.0003333333333333333,4.714045207910318e-5,0.20422535211267606
'101101111000110001011011111111101000011111111111101101111011111011110110',,,0.11971830985915492
'101111111011110001111011011111111111111111111101101111110101111011100110',0.0008333333333333334,0.0002054804667656326,0.1056338028169014
'001111001011000111111111011000111111110011100000001111000101111111100100',0.0002,8.16496580927726e-5,0.2112676056338028
'111010111100001110110000100001000000000100011101111010001000000010010001',,,0.23943661971830985
'000000000011001110000100000000010111100000000010010000000110000100001001',0.0007000000000000001,0.0001414213562373095,0.08450704225352113
'101111111011110111111011111001111111111111111101101111111101111011110110',0.0007666666666666668,0.0002867441755680876,0.06338028169014084
'010000000111001110000100011000000000010000000010010000000010000100001001',0.0008666666666666667,0.00026246692913372703,0.1056338028169014
'110101110100110111000011111111111111111111111111100101011110111001110010',0.0002,0.0001414213562373095,0.16901408450704225
'010111000111000001000111011000111111110011111010000101000110111101100000',0.0003333333333333333,4.714045207910318e-5,0.23943661971830985
'110101110111110110000001100111111111101111100111100101111110010000010011',,,0.2323943661971831
'110010110100111000100000100111010111101100011111110010011100000000011011',,,0.19718309859154928
'101101111011110111111011011111111111111111100101101111110101111011100110',0.0008333333333333334,0.00033993463423951894,0.11267605633802817
'101110111000111001111000111111101000011110111101101111111001111010011111',,,0.23943661971830985
'010010100100001110000000000110000000000000000010010000000010000000001001',,,0.13380281690140844
'010000000111101000000100011110010111110000000010010000010110000100001001',,,0.14788732394366197
'111110101111000000110000111001000000010100100000010010001001111000010101',,,0.3028169014084507
'010000000100001000000110100110000000000000000010010000001010000101111000',,,0.16901408450704225
'110000110111111110000000100111010111101100000111110000011110000000011011',0.00036666666666666667,4.714045207910318e-5,0.15492957746478872
'101101111011110001111011100001101000001111111101101111101001111011110110',0.0005333333333333333,0.0001247219128924647,0.14084507042253522
'010111000100000001000111111000101000010011100010000101001010111101110000',,,0.23943661971830985
'010000000111001000000100111000000000010000000010010000001010000100011001',0.0004333333333333333,4.714045207910316e-5,0.13380281690140844
'010000000100001000000101100000010111100000000010010000001110000100011001',,,0.1267605633802817
'001000001000001000111100000000010111100000000000011010100101000110001101',,,0.1619718309859155
'100111110011111001000011100111111111101111011111100101111110111001111010',,,0.19718309859154928
'010010000111001000000100000000000000000000011010010000000010000100001001',0.0005,0.00016329931618554522,0.08450704225352113
'011111001100000001111111011110101000010011100000001111100001111111100100',0.0001,0.0,0.14788732394366197
'001000001000001110111100000000010111100000011000011010100101000110001101',0.0003,8.164965809277261e-5,0.19014084507042253
'100010110000111000000000111001010111111100011111110000111110000000011011',,,0.22535211267605634
'110001110111110111000001111001111111111111011111100101011110001001110010',,,0.22535211267605634
'011110001100000111111110000110100000000000111000001111100001111111000100',,,0.2535211267605634
'101111111111110000111001100111111111101111100101101111111101110010010111',,,0.18309859154929578
'010010000111001000000100011110000000010000011010010000000010000100001001',0.0006666666666666666,0.00012472191289246472,0.1267605633802817
'010000000111001110000100111000000000010000000010010000001010000100011001',0.0005333333333333334,0.00020548046676563257,0.13380281690140844
'010000000000001110000100011000000000010000011010010000000010000100001001',0.0002666666666666667,9.428090415820635e-5,0.11267605633802817
'111101111111110111111001011111101000011111111101101111110001111010000111',0.0001,0.0,0.18309859154929578
